year,START_DATE
2023,09-10-2023
2023,09-11-2023
2023,09-12-2023
2023,09-13-2023
2023,09-14-2023
2023,09-16-2023
2023,09-17-2023
2023,09-18-2023
2023,09-19-2023
2023,09-20-2023
2023,09-21-2023
2023,09-22-2023
2023,09-24-2023
2023,09-25-2023
2023,10-05-2023
2023,10-06-2023
2023,10-07-2023
2023,10-08-2023
2023,10-09-2023
2023,10-10-2023
2023,10-11-2023
2023,10-12-2023
2023,10-13-2023
2023,10-14-2023
2023,10-15-2023
2023,10-17-2023
2023,10-18-2023
2023,10-19-2023
2023,10-20-2023
2023,10-21-2023
2023,10-22-2023
2023,10-23-2023
2023,10-30-2023
2023,10-31-2023
2023,11-01-2023
2023,11-02-2023
2023,11-03-2023
2023,11-04-2023
2023,11-05-2023
2023,11-06-2023
2023,11-07-2023
2023,11-08-2023
2023,11-09-2023
2023,11-10-2023
2023,11-11-2023
2023,11-12-2023
2023,11-13-2023
2023,11-14-2023
2023,11-15-2023
2023,11-16-2023
2024,09-07-2024
2024,09-08-2024
2024,09-09-2024
2024,09-10-2024
2024,09-11-2024
2024,09-15-2024
2024,09-16-2024
2024,09-17-2024
2024,09-18-2024
2024,09-19-2024
2024,09-20-2024
2024,09-21-2024
2024,09-22-2024
2024,09-23-2024
2024,09-24-2024
2024,10-02-2024
2024,10-03-2024
2024,10-04-2024
2024,10-05-2024
2024,10-06-2024
2024,10-07-2024
2024,10-08-2024
2024,10-09-2024
2024,10-10-2024
2024,10-11-2024
2024,10-12-2024
2024,10-13-2024
2024,10-14-2024
2024,10-15-2024
2024,10-16-2024
2024,10-17-2024
2024,10-18-2024
2024,10-19-2024
2024,10-20-2024
2024,10-21-2024
2024,10-29-2024
2024,10-30-2024
2024,10-31-2024
2024,11-01-2024
2024,11-02-2024
2024,11-03-2024
2024,11-04-2024
2024,11-05-2024
2024,11-06-2024
2024,11-07-2024
2024,11-08-2024
2024,11-09-2024
2024,11-10-2024
2024,11-11-2024
